minimum_support,maximum_opposition,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
1,1,Gemmiger,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Klebsiella,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Leyella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Oscillibacter,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Parabacteroides,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Phocaeicola,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Segatella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Streptococcus,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Succinivibrio,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Sutterella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Veillonella,increased_in_AH,retained,2,0,"{""decreased_in_AH"":0,""increased_in_AH"":2}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Victivallis,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
2,0,Alistipes,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Bacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Desulfovibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Dialister,decreased_in_AH,retained,2,0,"{""decreased_in_AH"":2,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Enterocloster,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Enterococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Gemmiger,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Klebsiella,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Leyella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Oscillibacter,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Parabacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Phocaeicola,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Segatella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Streptococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Succinivibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Sutterella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Veillonella,increased_in_AH,retained,2,0,"{""decreased_in_AH"":0,""increased_in_AH"":2}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,0,Victivallis,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
2,1,Alistipes,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Bacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Desulfovibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Dialister,decreased_in_AH,retained,2,0,"{""decreased_in_AH"":2,""increased_in_AH"":0}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Enterocloster,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Enterococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Gemmiger,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Klebsiella,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Leyella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Oscillibacter,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Parabacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Phocaeicola,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Segatella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Streptococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Succinivibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Sutterella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Veillonella,increased_in_AH,retained,2,0,"{""decreased_in_AH"":0,""increased_in_AH"":2}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
2,1,Victivallis,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",64885e458341bc260134384046dddcf17587cc7860a700bb1ac7958b87033cea
