record_id,report_id,family_id,family_state,comparison_id,evidence_tier,source_taxon,source_rank,harmonized_taxon,harmonized_rank,target_taxon,mapping_state,direction,lineage_component,eligibility,source_location,source_comparison_label,source_criterion,extraction_note
HCC-EV0015,HCC-R02,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Clostridium XIVa,genus,Clostridium XIVa,genus,Clostridium XIVa,exact_genus_label,decreased_in_hcc,Clostridium XIVa,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2B_and_Results,NHBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2B; genus-level bars only,The source relabels the PRJNA428932 NBNC-HCC subset as NHBV-HCC.
HCC-EV0016,HCC-R02,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Megamonas,genus,Megamonas,genus,Megamonas,exact_genus_label,decreased_in_hcc,Megamonas,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2B_and_Results,NHBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2B; genus-level bars only,The source relabels the PRJNA428932 NBNC-HCC subset as NHBV-HCC.
HCC-EV0017,HCC-R02,HCC-F01,cohort_family,hbv_hcc_vs_healthy,direct_hcc_healthy,Gemmiger,genus,Gemmiger,genus,Gemmiger,exact_genus_label,increased_in_hcc,Gemmiger,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2D_and_Results,HBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2D; genus-level bars only,
HCC-EV0018,HCC-R02,HCC-F01,cohort_family,hbv_hcc_vs_healthy,direct_hcc_healthy,Blautia,genus,Blautia,genus,Blautia,exact_genus_label,increased_in_hcc,Blautia,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2D_and_Results,HBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2D; genus-level bars only,
HCC-EV0019,HCC-R02,HCC-F01,cohort_family,hbv_hcc_vs_healthy,direct_hcc_healthy,Lactobacillus,genus,Lactobacillus,genus,Lactobacillus,exact_genus_label,increased_in_hcc,Lactobacillus,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2D_and_Results,HBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2D; genus-level bars only,
HCC-EV0020,HCC-R02,HCC-F01,cohort_family,hbv_hcc_vs_healthy,direct_hcc_healthy,Eubacterium,genus,Eubacterium,genus,Eubacterium,exact_genus_label,increased_in_hcc,Eubacterium,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2D_and_Results,HBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2D; genus-level bars only,
HCC-EV0021,HCC-R02,HCC-F01,cohort_family,hbv_hcc_vs_healthy,direct_hcc_healthy,Raoultella,genus,Raoultella,genus,Raoultella,exact_genus_label,decreased_in_hcc,Raoultella,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2D_and_Results,HBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2D; genus-level bars only,
HCC-EV0022,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Actinomyces,genus,Actinomyces,genus,Actinomyces,exact_genus_label,increased_in_hcc,Actinomyces,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0023,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Atopobium,genus,Atopobium,genus,Atopobium,exact_genus_label,increased_in_hcc,Atopobium,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0024,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Desulfococcus,genus,Desulfococcus,genus,Desulfococcus,exact_genus_label,increased_in_hcc,Desulfococcus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0025,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Enterobacter,genus,Enterobacter,genus,Enterobacter,exact_genus_label,increased_in_hcc,Enterobacter,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0026,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Paraprevotella,genus,Paraprevotella,genus,Paraprevotella,exact_genus_label,increased_in_hcc,Paraprevotella,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0027,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Prevotella,genus,Prevotella,genus,Prevotella,exact_genus_label,increased_in_hcc,Prevotella,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0028,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Veillonella,genus,Veillonella,genus,Veillonella,exact_genus_label,increased_in_hcc,Veillonella,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0029,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Acidaminococcus,genus,Acidaminococcus,genus,Acidaminococcus,exact_genus_label,decreased_in_hcc,Acidaminococcus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0030,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Cetobacterium,genus,Cetobacterium,genus,Cetobacterium,exact_genus_label,decreased_in_hcc,Cetobacterium,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0031,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Coprobacillus,genus,Coprobacillus,genus,Coprobacillus,exact_genus_label,decreased_in_hcc,Coprobacillus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0032,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Pyramidobacter,genus,Pyramidobacter,genus,Pyramidobacter,exact_genus_label,decreased_in_hcc,Pyramidobacter,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0033,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_i_vs_healthy,direct_hcc_healthy,Turicibacter,genus,Turicibacter,genus,Turicibacter,exact_genus_label,decreased_in_hcc,Turicibacter,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage I versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0034,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_ii_vs_healthy,direct_hcc_healthy,Desulfococcus,genus,Desulfococcus,genus,Desulfococcus,exact_genus_label,increased_in_hcc,Desulfococcus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage II versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0035,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_ii_vs_healthy,direct_hcc_healthy,Enterobacter,genus,Enterobacter,genus,Enterobacter,exact_genus_label,increased_in_hcc,Enterobacter,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage II versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0036,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_ii_vs_healthy,direct_hcc_healthy,Lactococcus,genus,Lactococcus,genus,Lactococcus,exact_genus_label,increased_in_hcc,Lactococcus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage II versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0037,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_ii_vs_healthy,direct_hcc_healthy,Leptotrichia,genus,Leptotrichia,genus,Leptotrichia,exact_genus_label,increased_in_hcc,Leptotrichia,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage II versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0038,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_ii_vs_healthy,direct_hcc_healthy,Paraprevotella,genus,Paraprevotella,genus,Paraprevotella,exact_genus_label,increased_in_hcc,Paraprevotella,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage II versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0039,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_ii_vs_healthy,direct_hcc_healthy,Prevotella,genus,Prevotella,genus,Prevotella,exact_genus_label,increased_in_hcc,Prevotella,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage II versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0040,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_ii_vs_healthy,direct_hcc_healthy,Veillonella,genus,Veillonella,genus,Veillonella,exact_genus_label,increased_in_hcc,Veillonella,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage II versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0041,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_ii_vs_healthy,direct_hcc_healthy,Anaerotruncus,genus,Anaerotruncus,genus,Anaerotruncus,exact_genus_label,decreased_in_hcc,Anaerotruncus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage II versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0042,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_ii_vs_healthy,direct_hcc_healthy,Cetobacterium,genus,Cetobacterium,genus,Cetobacterium,exact_genus_label,decreased_in_hcc,Cetobacterium,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage II versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,Planctomycetes and unidentified labels were excluded because genus identity was not supportable.
HCC-EV0043,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Actinomyces,genus,Actinomyces,genus,Actinomyces,exact_genus_label,increased_in_hcc,Actinomyces,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0044,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Atopobium,genus,Atopobium,genus,Atopobium,exact_genus_label,increased_in_hcc,Atopobium,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0045,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Desulfococcus,genus,Desulfococcus,genus,Desulfococcus,exact_genus_label,increased_in_hcc,Desulfococcus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0046,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Enterobacter,genus,Enterobacter,genus,Enterobacter,exact_genus_label,increased_in_hcc,Enterobacter,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0047,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Haemophilus,genus,Haemophilus,genus,Haemophilus,exact_genus_label,increased_in_hcc,Haemophilus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0048,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Lactococcus,genus,Lactococcus,genus,Lactococcus,exact_genus_label,increased_in_hcc,Lactococcus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0049,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Leptotrichia,genus,Leptotrichia,genus,Leptotrichia,exact_genus_label,increased_in_hcc,Leptotrichia,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0050,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Neisseria,genus,Neisseria,genus,Neisseria,exact_genus_label,increased_in_hcc,Neisseria,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0051,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Oribacterium,genus,Oribacterium,genus,Oribacterium,exact_genus_label,increased_in_hcc,Oribacterium,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0052,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Prevotella,genus,Prevotella,genus,Prevotella,exact_genus_label,increased_in_hcc,Prevotella,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0053,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Rothia,genus,Rothia,genus,Rothia,exact_genus_label,increased_in_hcc,Rothia,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0054,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Selenomonas,genus,Selenomonas,genus,Selenomonas,exact_genus_label,increased_in_hcc,Selenomonas,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0055,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Veillonella,genus,Veillonella,genus,Veillonella,exact_genus_label,increased_in_hcc,Veillonella,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0056,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Acidaminococcus,genus,Acidaminococcus,genus,Acidaminococcus,exact_genus_label,decreased_in_hcc,Acidaminococcus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0057,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Anaerostipes,genus,Anaerostipes,genus,Anaerostipes,exact_genus_label,decreased_in_hcc,Anaerostipes,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0058,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Anaerotruncus,genus,Anaerotruncus,genus,Anaerotruncus,exact_genus_label,decreased_in_hcc,Anaerotruncus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0059,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Butyricimonas,genus,Butyricimonas,genus,Butyricimonas,exact_genus_label,decreased_in_hcc,Butyricimonas,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0060,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Cetobacterium,genus,Cetobacterium,genus,Cetobacterium,exact_genus_label,decreased_in_hcc,Cetobacterium,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0061,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Cloacibacillus,genus,Cloacibacillus,genus,Cloacibacillus,exact_genus_label,decreased_in_hcc,Cloacibacillus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0062,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Coprobacillus,genus,Coprobacillus,genus,Coprobacillus,exact_genus_label,decreased_in_hcc,Coprobacillus,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0063,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Holdemania,genus,Holdemania,genus,Holdemania,exact_genus_label,decreased_in_hcc,Holdemania,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0064,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Methanobrevibacter,genus,Methanobrevibacter,genus,Methanobrevibacter,exact_genus_label,decreased_in_hcc,Methanobrevibacter,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
HCC-EV0065,HCC-R03,HCC-F02,cohort_family,primary_hcc_stage_iii_vs_healthy,direct_hcc_healthy,Odoribacter,genus,Odoribacter,genus,Odoribacter,exact_genus_label,decreased_in_hcc,Odoribacter,eligible,Ni_2019_HBV_HCC.pdf:article_pages_6-7:Results_genus_lists,primary HCC stage III versus healthy controls,indicator-value and Kruskal-Wallis significant named genera,
