minimum_support,maximum_opposition,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
1,0,Parabacteroides,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Phocaeicola,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Segatella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Streptococcus,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Succinivibrio,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Sutterella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Veillonella,increased_in_AH,retained,2,0,"{""decreased_in_AH"":0,""increased_in_AH"":2}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Victivallis,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,1,Alistipes,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Bacteroides,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Desulfovibrio,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Dialister,decreased_in_AH,retained,2,0,"{""decreased_in_AH"":2,""increased_in_AH"":0}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Enterocloster,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Enterococcus,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Gemmiger,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Klebsiella,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Leyella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Oscillibacter,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Parabacteroides,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Phocaeicola,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Segatella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Streptococcus,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Succinivibrio,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Sutterella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Veillonella,increased_in_AH,retained,2,0,"{""decreased_in_AH"":0,""increased_in_AH"":2}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
1,1,Victivallis,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",618619af314057e7460cbe9d5b11ea7f79508ffd680c8766366f9f428c5213db
2,0,Alistipes,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Bacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Desulfovibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Dialister,decreased_in_AH,retained,2,0,"{""decreased_in_AH"":2,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Enterocloster,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Enterococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Gemmiger,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Klebsiella,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Leyella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Oscillibacter,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Parabacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Phocaeicola,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Segatella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Streptococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Succinivibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Sutterella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Veillonella,increased_in_AH,retained,2,0,"{""decreased_in_AH"":0,""increased_in_AH"":2}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,0,Victivallis,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
2,1,Alistipes,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Bacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Desulfovibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Dialister,decreased_in_AH,retained,2,0,"{""decreased_in_AH"":2,""increased_in_AH"":0}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Enterocloster,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Enterococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Gemmiger,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Klebsiella,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Leyella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Oscillibacter,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Parabacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Phocaeicola,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Segatella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Streptococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Succinivibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Sutterella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Veillonella,increased_in_AH,retained,2,0,"{""decreased_in_AH"":0,""increased_in_AH"":2}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
2,1,Victivallis,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",0cbc4b54770778d67aad534bf3f255eb1491977538794d0f73ce309083c93db1
