arm,disease_id,disease_label,method,method_display_name,unit_semantics,taxon_summary_count,vote_count_sum,selected_pair_count,selected_pairs
literature,D003922,"Diabetes Mellitus, Type 1",source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",13,15,2,Acidaminococcus|decreased;Bacteroides|increased
literature,D003922,"Diabetes Mellitus, Type 1",source_row,source-row counting,each eligible source row is a vote after target-rank mapping,13,15,2,Acidaminococcus|decreased;Bacteroides|increased
literature,D003922,"Diabetes Mellitus, Type 1",unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,13,15,2,Acidaminococcus|decreased;Bacteroides|increased
literature,D003924,"Diabetes Mellitus, Type 2",family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,21,25,1,Megamonas|increased
literature,D003924,"Diabetes Mellitus, Type 2",provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",21,25,1,Megamonas|increased
literature,D003924,"Diabetes Mellitus, Type 2",source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",21,25,1,Megamonas|increased
literature,D003924,"Diabetes Mellitus, Type 2",source_row,source-row counting,each eligible source row is a vote after target-rank mapping,21,25,1,Megamonas|increased
literature,D003924,"Diabetes Mellitus, Type 2",unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,21,25,1,Megamonas|increased
literature,D004485,Eczema,family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,58,60,1,Parabacteroides|increased
literature,D004485,Eczema,provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",47,50,2,Bifidobacterium|decreased;Parabacteroides|increased
literature,D004485,Eczema,source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",58,60,1,Parabacteroides|increased
literature,D004485,Eczema,source_row,source-row counting,each eligible source row is a vote after target-rank mapping,47,60,8,Akkermansia|increased;Bifidobacterium|decreased;Dialister|decreased;Faecalibacterium|increased;Gemmiger|increased;Megasphaera|decreased;Parabacteroides|increased;Streptococcus|decreased
literature,D004485,Eczema,unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,47,50,2,Bifidobacterium|decreased;Parabacteroides|increased
literature,D009103,Multiple Sclerosis,family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,10,11,1,Faecalibacterium|decreased
literature,D009103,Multiple Sclerosis,provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",10,11,1,Faecalibacterium|decreased
literature,D009103,Multiple Sclerosis,source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",10,15,4,Akkermansia|increased;Butyricimonas|decreased;Faecalibacterium|decreased;Prevotella|decreased
literature,D009103,Multiple Sclerosis,source_row,source-row counting,each eligible source row is a vote after target-rank mapping,10,15,4,Akkermansia|increased;Butyricimonas|decreased;Faecalibacterium|decreased;Prevotella|decreased
literature,D009103,Multiple Sclerosis,unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,10,11,1,Faecalibacterium|decreased
literature,D009765,Obesity,family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,20,23,2,Bacteroides|decreased;Faecalibacterium|decreased
literature,D009765,Obesity,provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",19,23,2,Bacteroides|decreased;Faecalibacterium|decreased
literature,D009765,Obesity,source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",20,23,2,Bacteroides|decreased;Faecalibacterium|decreased
literature,D009765,Obesity,source_row,source-row counting,each eligible source row is a vote after target-rank mapping,19,23,2,Bacteroides|decreased;Faecalibacterium|decreased
literature,D009765,Obesity,unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,19,23,2,Bacteroides|decreased;Faecalibacterium|decreased
literature,D010300,Parkinson Disease,family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,33,35,1,Faecalibacterium|decreased
literature,D010300,Parkinson Disease,provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",21,28,4,Bacteroides|decreased;Blautia|decreased;Faecalibacterium|decreased;Lactobacillus|increased
literature,D010300,Parkinson Disease,source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",33,35,1,Faecalibacterium|decreased
literature,D010300,Parkinson Disease,source_row,source-row counting,each eligible source row is a vote after target-rank mapping,21,35,7,Bacteroides|decreased;Blautia|decreased;Christensenella|increased;Dorea|decreased;Faecalibacterium|decreased;Lactobacillus|increased;Phocaeicola|decreased
literature,D010300,Parkinson Disease,unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,21,28,4,Bacteroides|decreased;Blautia|decreased;Faecalibacterium|decreased;Lactobacillus|increased
literature,D015179,Colorectal Neoplasms,family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,42,60,7,Clostridium|increased;Fusobacterium|increased;Lactobacillus|increased;Parvimonas|increased;Peptostreptococcus|increased;Porphyromonas|increased;Ruminococcus|increased
literature,D015179,Colorectal Neoplasms,provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",40,59,7,Clostridium|increased;Fusobacterium|increased;Lactobacillus|increased;Parvimonas|increased;Peptostreptococcus|increased;Porphyromonas|increased;Ruminococcus|increased
literature,D015179,Colorectal Neoplasms,source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",42,60,7,Clostridium|increased;Fusobacterium|increased;Lactobacillus|increased;Parvimonas|increased;Peptostreptococcus|increased;Porphyromonas|increased;Ruminococcus|increased
literature,D015179,Colorectal Neoplasms,source_row,source-row counting,each eligible source row is a vote after target-rank mapping,40,60,7,Clostridium|increased;Fusobacterium|increased;Lactobacillus|increased;Parvimonas|increased;Peptostreptococcus|increased;Porphyromonas|increased;Ruminococcus|increased
literature,D015179,Colorectal Neoplasms,unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,40,59,7,Clostridium|increased;Fusobacterium|increased;Lactobacillus|increased;Parvimonas|increased;Peptostreptococcus|increased;Porphyromonas|increased;Ruminococcus|increased
literature,D015209,"Cholangitis, Sclerosing",family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,5,7,1,Veillonella|increased
literature,D015209,"Cholangitis, Sclerosing",provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",5,7,1,Veillonella|increased
literature,D015209,"Cholangitis, Sclerosing",source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",5,7,1,Veillonella|increased
literature,D015209,"Cholangitis, Sclerosing",source_row,source-row counting,each eligible source row is a vote after target-rank mapping,5,7,1,Veillonella|increased
literature,D015209,"Cholangitis, Sclerosing",unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,5,7,1,Veillonella|increased
literature,D043183,Irritable Bowel Syndrome,family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,15,16,1,Lactobacillus|increased
literature,D043183,Irritable Bowel Syndrome,provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",15,16,1,Lactobacillus|increased
literature,D043183,Irritable Bowel Syndrome,source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",15,16,1,Lactobacillus|increased
literature,D043183,Irritable Bowel Syndrome,source_row,source-row counting,each eligible source row is a vote after target-rank mapping,15,16,1,Lactobacillus|increased
literature,D043183,Irritable Bowel Syndrome,unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,15,16,1,Lactobacillus|increased
literature,D065626,Non-alcoholic Fatty Liver Disease,family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,12,13,1,Blautia|increased
literature,D065626,Non-alcoholic Fatty Liver Disease,provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",12,13,1,Blautia|increased
literature,D065626,Non-alcoholic Fatty Liver Disease,source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",12,13,1,Blautia|increased
literature,D065626,Non-alcoholic Fatty Liver Disease,source_row,source-row counting,each eligible source row is a vote after target-rank mapping,12,13,1,Blautia|increased
literature,D065626,Non-alcoholic Fatty Liver Disease,unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,12,13,1,Blautia|increased
rawdata,D003093,"Colitis, Ulcerative",family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,64,81,12,Butyricicoccus|decreased;Coprococcus|decreased;Faecalibacterium|decreased;Lachnospira|decreased;Phascolarctobacterium|decreased;Roseburia|decreased;Ruminococcus|decreased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Tyzzerella|decreased
rawdata,D003093,"Colitis, Ulcerative",provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",52,74,14,Butyricicoccus|decreased;Clostridium|increased;Coprococcus|decreased;Faecalibacterium|decreased;Lachnospira|decreased;Phascolarctobacterium|decreased;Phocaeicola|decreased;Roseburia|decreased;Ruminococcus|decreased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Tyzzerella|decreased
rawdata,D003093,"Colitis, Ulcerative",source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",64,81,12,Butyricicoccus|decreased;Coprococcus|decreased;Faecalibacterium|decreased;Lachnospira|decreased;Phascolarctobacterium|decreased;Roseburia|decreased;Ruminococcus|decreased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Tyzzerella|decreased
rawdata,D003093,"Colitis, Ulcerative",source_row,source-row counting,each eligible source row is a vote after target-rank mapping,52,108,32,Actinomyces|increased;Adlercreutzia|increased;Alistipes|decreased;Butyricicoccus|decreased;Candidatus Stoquefichus|increased;Clostridium|increased;Collinsella|decreased;Coprococcus|decreased;Dorea|decreased;Eggerthella|increased;Eisenbergiella|increased;Faecalibacterium|decreased;Flavonifractor|increased;Fusobacterium|increased;Gemella|increased;Holdemanella|decreased;Lachnospira|decreased;Megasphaera|increased;Odoribacter|decreased;Oribacterium|increased;Paraprevotella|decreased;Phascolarctobacterium|decreased;Phocaeicola|decreased;Roseburia|decreased;Rothia|increased;Ruminococcus|decreased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Terrisporobacter|decreased;Tyzzerella|decreased
rawdata,D003093,"Colitis, Ulcerative",unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,52,74,14,Butyricicoccus|decreased;Clostridium|increased;Coprococcus|decreased;Faecalibacterium|decreased;Lachnospira|decreased;Phascolarctobacterium|decreased;Phocaeicola|decreased;Roseburia|decreased;Ruminococcus|decreased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Tyzzerella|decreased
rawdata,D003324,Coronary Artery Disease,family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,60,69,5,Allisonella|increased;Bifidobacterium dentium|increased;Blautia|decreased;Lactobacillus mucosae|increased;Streptococcus mutans|increased
rawdata,D003324,Coronary Artery Disease,provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",44,56,5,Bifidobacterium|increased;Blautia|decreased;Dialister|increased;Limosilactobacillus|increased;Streptococcus|increased
rawdata,D003324,Coronary Artery Disease,source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",60,69,5,Allisonella|increased;Bifidobacterium dentium|increased;Blautia|decreased;Lactobacillus mucosae|increased;Streptococcus mutans|increased
rawdata,D003324,Coronary Artery Disease,source_row,source-row counting,each eligible source row is a vote after target-rank mapping,44,76,10,Bifidobacterium|increased;Bilophila|increased;Blautia|decreased;Coprococcus|decreased;Dialister|increased;Flavonifractor|decreased;Limosilactobacillus|increased;Monoglobus|decreased;Streptococcus|increased;Sutterella|increased
rawdata,D003324,Coronary Artery Disease,unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,44,56,5,Bifidobacterium|increased;Blautia|decreased;Dialister|increased;Limosilactobacillus|increased;Streptococcus|increased
rawdata,D003424,Crohn Disease,family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,111,167,36,Alistipes obesi|decreased;Alistipes|decreased;Bacteroides coprocola|decreased;Bacteroides massiliensis|decreased;Bacteroides plebeius|decreased;Barnesiella|decreased;Blautia|increased;Butyricicoccus|decreased;Catenibacterium|decreased;Clostridium sensu stricto 1|decreased;Coprococcus|decreased;Dorea|decreased;Eggerthella|increased;Eisenbergiella|increased;Enterococcus|increased;Erysipelatoclostridium|increased;Faecalibacterium|decreased;Faecalitalea|increased;Holdemanella|decreased;Lachnoclostridium|increased;Marvinbryantia|decreased;Megamonas|decreased;Odoribacter splanchnicus|decreased;Parabacteroides|decreased;Paraprevotella|decreased;Phascolarctobacterium|decreased;Prevotella|decreased;Romboutsia|decreased;Roseburia|decreased;Ruminococcus|decreased;Sellimonas|increased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Veillonella|increased
rawdata,D003424,Crohn Disease,provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",86,139,32,Bacteroides|decreased;Barnesiella|decreased;Blautia|increased;Catenibacterium|decreased;Clostridium|decreased;Collinsella|decreased;Coprococcus|decreased;Dorea|decreased;Eggerthella|increased;Eisenbergiella|increased;Enterococcus|increased;Faecalibacterium|decreased;Faecalitalea|increased;Holdemanella|decreased;Lachnoclostridium|increased;Marvinbryantia|decreased;Megamonas|decreased;Parabacteroides|decreased;Paraprevotella|decreased;Phascolarctobacterium|decreased;Phocaeicola|decreased;Prevotella|decreased;Romboutsia|decreased;Roseburia|decreased;Ruminococcus|decreased;Sellimonas|increased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Thomasclavelia|increased;Veillonella|increased
rawdata,D003424,Crohn Disease,source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",111,167,36,Alistipes obesi|decreased;Alistipes|decreased;Bacteroides coprocola|decreased;Bacteroides massiliensis|decreased;Bacteroides plebeius|decreased;Barnesiella|decreased;Blautia|increased;Butyricicoccus|decreased;Catenibacterium|decreased;Clostridium sensu stricto 1|decreased;Coprococcus|decreased;Dorea|decreased;Eggerthella|increased;Eisenbergiella|increased;Enterococcus|increased;Erysipelatoclostridium|increased;Faecalibacterium|decreased;Faecalitalea|increased;Holdemanella|decreased;Lachnoclostridium|increased;Marvinbryantia|decreased;Megamonas|decreased;Odoribacter splanchnicus|decreased;Parabacteroides|decreased;Paraprevotella|decreased;Phascolarctobacterium|decreased;Prevotella|decreased;Romboutsia|decreased;Roseburia|decreased;Ruminococcus|decreased;Sellimonas|increased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Veillonella|increased
rawdata,D003424,Crohn Disease,source_row,source-row counting,each eligible source row is a vote after target-rank mapping,86,241,55,Actinomyces|increased;Adlercreutzia|decreased;Agathobacter|decreased;Anaerostipes|decreased;Atopobium|increased;Bacteroides|decreased;Barnesiella|decreased;Bilophila|decreased;Blautia|increased;Butyricimonas|decreased;Candidatus Stoquefichus|increased;Catenibacterium|decreased;Clostridioides|increased;Clostridium|decreased;Coprococcus|decreased;Dorea|decreased;Eggerthella|increased;Eisenbergiella|increased;Enterococcus|increased;Eubacterium|increased;Faecalibacterium|decreased;Faecalitalea|increased;Flavonifractor|increased;Fusobacterium|increased;Gemella|increased;Intestinibacter|increased;Lachnoclostridium|increased;Lachnospira|decreased;Lactobacillus|increased;Leuconostoc|increased;Marvinbryantia|decreased;Megamonas|decreased;Megasphaera|increased;Monoglobus|decreased;Morganella|increased;Negativibacillus|decreased;Oribacterium|increased;Parabacteroides|decreased;Paraprevotella|decreased;Parasutterella|decreased;Peptostreptococcus|increased;Phascolarctobacterium|decreased;Phocaeicola|decreased;Prevotella|decreased;Romboutsia|decreased;Roseburia|decreased;Ruminococcus|decreased;Sarcina|decreased;Sellimonas|increased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Thomasclavelia|increased;Veillonella|increased
rawdata,D003424,Crohn Disease,unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,86,139,32,Bacteroides|decreased;Barnesiella|decreased;Blautia|increased;Catenibacterium|decreased;Clostridium|decreased;Collinsella|decreased;Coprococcus|decreased;Dorea|decreased;Eggerthella|increased;Eisenbergiella|increased;Enterococcus|increased;Faecalibacterium|decreased;Faecalitalea|increased;Holdemanella|decreased;Lachnoclostridium|increased;Marvinbryantia|decreased;Megamonas|decreased;Parabacteroides|decreased;Paraprevotella|decreased;Phascolarctobacterium|decreased;Phocaeicola|decreased;Prevotella|decreased;Romboutsia|decreased;Roseburia|decreased;Ruminococcus|decreased;Sellimonas|increased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Thomasclavelia|increased;Veillonella|increased
rawdata,D010300,Parkinson Disease,family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,164,251,42,Agathobacter|decreased;Akkermansia muciniphila|increased;Akkermansia|increased;Alistipes communis|increased;Alistipes sp.|increased;Anaerostipes|decreased;Bacteroides massiliensis|decreased;Bacteroides uniformis|increased;Bifidobacterium bifidum|increased;Bifidobacterium dentium|increased;Bifidobacterium longum|increased;Bifidobacterium|increased;Blautia|decreased;Butyricicoccus|decreased;Cloacibacillus evryensis|increased;Cloacibacillus|increased;Clostridium sensu stricto 1|decreased;Coprococcus|decreased;Dorea|decreased;Enterococcus|increased;Erysipelatoclostridium|increased;Eubacterium|increased;Faecalibacterium|decreased;Frisingicoccus|increased;Fusicatenibacter|decreased;Haemophilus|decreased;Holdemanella|decreased;Intestinimonas|increased;Lachnoclostridium phocaeense|increased;Lachnospira|decreased;Lactobacillus mucosae|increased;Mogibacterium|increased;Monoglobus|decreased;Oscillibacter|increased;Parabacteroides|increased;Prevotella|decreased;Roseburia|decreased;Ruminococcus callidus|decreased;Ruminococcus|decreased;Streptococcus anginosus|increased;Subdoligranulum|decreased;Terrisporobacter|increased
rawdata,D010300,Parkinson Disease,provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",108,194,33,Agathobacter|decreased;Akkermansia|increased;Anaerostipes|decreased;Bifidobacterium|increased;Blautia|decreased;Butyricicoccus|decreased;Cloacibacillus|increased;Clostridium|decreased;Coprococcus|decreased;Desulfovibrio|increased;Dialister|decreased;Dorea|decreased;Enterococcus|increased;Eubacterium|increased;Faecalibacterium|decreased;Flavonifractor|increased;Frisingicoccus|increased;Fusicatenibacter|decreased;Haemophilus|decreased;Holdemanella|decreased;Intestinimonas|increased;Lachnospira|decreased;Limosilactobacillus|increased;Mogibacterium|increased;Monoglobus|decreased;Oscillibacter|increased;Parabacteroides|increased;Prevotella|decreased;Roseburia|decreased;Ruminococcus|decreased;Subdoligranulum|decreased;Terrisporobacter|increased;Thomasclavelia|increased
rawdata,D010300,Parkinson Disease,source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",164,251,42,Agathobacter|decreased;Akkermansia muciniphila|increased;Akkermansia|increased;Alistipes communis|increased;Alistipes sp.|increased;Anaerostipes|decreased;Bacteroides massiliensis|decreased;Bacteroides uniformis|increased;Bifidobacterium bifidum|increased;Bifidobacterium dentium|increased;Bifidobacterium longum|increased;Bifidobacterium|increased;Blautia|decreased;Butyricicoccus|decreased;Cloacibacillus evryensis|increased;Cloacibacillus|increased;Clostridium sensu stricto 1|decreased;Coprococcus|decreased;Dorea|decreased;Enterococcus|increased;Erysipelatoclostridium|increased;Eubacterium|increased;Faecalibacterium|decreased;Frisingicoccus|increased;Fusicatenibacter|decreased;Haemophilus|decreased;Holdemanella|decreased;Intestinimonas|increased;Lachnoclostridium phocaeense|increased;Lachnospira|decreased;Lactobacillus mucosae|increased;Mogibacterium|increased;Monoglobus|decreased;Oscillibacter|increased;Parabacteroides|increased;Prevotella|decreased;Roseburia|decreased;Ruminococcus callidus|decreased;Ruminococcus|decreased;Streptococcus anginosus|increased;Subdoligranulum|decreased;Terrisporobacter|increased
rawdata,D010300,Parkinson Disease,source_row,source-row counting,each eligible source row is a vote after target-rank mapping,108,290,46,Actinobacillus|increased;Agathobacter|decreased;Akkermansia|increased;Anaerostipes|decreased;Bifidobacterium|increased;Butyricicoccus|decreased;Christensenella|increased;Cloacibacillus|increased;Clostridium|decreased;Coprobacillus|increased;Coprococcus|decreased;Desulfovibrio|increased;Dialister|decreased;Dorea|decreased;Enterococcus|increased;Faecalibacterium|decreased;Faecalicoccus|increased;Flavonifractor|increased;Frisingicoccus|increased;Fusicatenibacter|decreased;Haemophilus|decreased;Helicobacter|increased;Holdemanella|decreased;Intestinimonas|increased;Lachnospira|decreased;Massilia|increased;Megamonas|decreased;Methanosphaera|decreased;Mitsuokella|decreased;Mogibacterium|increased;Monoglobus|decreased;Oscillibacter|increased;Parabacteroides|increased;Phascolarctobacterium|increased;Prevotella|decreased;Rikenella|increased;Roseburia|decreased;Ruminococcus|decreased;Sphingobium|increased;Subdoligranulum|decreased;Succinivibrio|increased;Sutterella|decreased;Terrisporobacter|increased;Thomasclavelia|increased;Turicibacter|increased;Wolbachia|increased
rawdata,D010300,Parkinson Disease,unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,108,194,33,Agathobacter|decreased;Akkermansia|increased;Anaerostipes|decreased;Bifidobacterium|increased;Blautia|decreased;Butyricicoccus|decreased;Cloacibacillus|increased;Clostridium|decreased;Coprococcus|decreased;Desulfovibrio|increased;Dialister|decreased;Dorea|decreased;Enterococcus|increased;Eubacterium|increased;Faecalibacterium|decreased;Flavonifractor|increased;Frisingicoccus|increased;Fusicatenibacter|decreased;Haemophilus|decreased;Holdemanella|decreased;Intestinimonas|increased;Lachnospira|decreased;Limosilactobacillus|increased;Mogibacterium|increased;Monoglobus|decreased;Oscillibacter|increased;Parabacteroides|increased;Prevotella|decreased;Roseburia|decreased;Ruminococcus|decreased;Subdoligranulum|decreased;Terrisporobacter|increased;Thomasclavelia|increased
